"species_pop","breeding","nonbreeding","br_n","nonbr_n","species","common_name","iucn","season_diff_raw","season_diff","season","season_exposure","sp_pop","pop"
"Buller's Shearwater, Aorangi Island ","01_02_03_04_10_11_12","05_06_07_08_09",7,5,"Ardenna bulleri","Buller's Shearwater","VU",-33.4712275,33.4712275,"br_exposure",3.2591125,"Ardenna bulleri_Aorangi Island","Aorangi Island"
"Buller's Shearwater, Aorangi Island ","01_02_03_04_10_11_12","05_06_07_08_09",7,5,"Ardenna bulleri","Buller's Shearwater","VU",-33.4712275,33.4712275,"nonbr_exposure",36.73034,"Ardenna bulleri_Aorangi Island","Aorangi Island"
"Flesh-footed Shearwater, Lord Howe Island ","01_02_03_04_10_11","05_06_07_08_09",6,5,"Ardenna carneipes","Flesh-footed Shearwater","NT",-41.24519,41.24519,"br_exposure",5.83835,"Ardenna carneipes_Lord Howe Island","Lord Howe Island"
"Flesh-footed Shearwater, Lord Howe Island ","01_02_03_04_10_11","05_06_07_08_09",6,5,"Ardenna carneipes","Flesh-footed Shearwater","NT",-41.24519,41.24519,"nonbr_exposure",47.08354,"Ardenna carneipes_Lord Howe Island","Lord Howe Island"
"Flesh-footed Shearwater, New Zealand ","01_02_03_04_10_11_12","05_06_07_08_09",7,5,"Ardenna carneipes","Flesh-footed Shearwater","NT",-37.54244,37.54244,"br_exposure",7.3762,"Ardenna carneipes_New Zealand","New Zealand"
"Flesh-footed Shearwater, New Zealand ","01_02_03_04_10_11_12","05_06_07_08_09",7,5,"Ardenna carneipes","Flesh-footed Shearwater","NT",-37.54244,37.54244,"nonbr_exposure",44.91864,"Ardenna carneipes_New Zealand","New Zealand"
"Scopoli's Shearwater, Balearic Archipelago ","04_05_06_07_08_09_10","01_02_11_12",7,4,"Calonectris diomedea","Scopoli's Shearwater","LC",438.0064321,438.0064321,"br_exposure",442.7394571,"Calonectris diomedea_Balearic Archipelago","Balearic Archipelago"
"Scopoli's Shearwater, Balearic Archipelago ","04_05_06_07_08_09_10","01_02_11_12",7,4,"Calonectris diomedea","Scopoli's Shearwater","LC",438.0064321,438.0064321,"nonbr_exposure",4.733025,"Calonectris diomedea_Balearic Archipelago","Balearic Archipelago"
"Scopoli's Shearwater, Chafarinas ","04_05_06_07_08_09_10","01_02_11_12",7,4,"Calonectris diomedea","Scopoli's Shearwater","LC",370.4459036,370.4459036,"br_exposure",372.5058286,"Calonectris diomedea_Chafarinas","Chafarinas"
"Scopoli's Shearwater, Chafarinas ","04_05_06_07_08_09_10","01_02_11_12",7,4,"Calonectris diomedea","Scopoli's Shearwater","LC",370.4459036,370.4459036,"nonbr_exposure",2.059925,"Calonectris diomedea_Chafarinas","Chafarinas"
"Scopoli's Shearwater, La Maddalena ","04_05_06_07_08_09_10","01_02_03_11_12",7,5,"Calonectris diomedea","Scopoli's Shearwater","LC",245.3152143,245.3152143,"br_exposure",311.4206143,"Calonectris diomedea_La Maddalena Archipelago","La Maddalena Archipelago"
"Scopoli's Shearwater, La Maddalena ","04_05_06_07_08_09_10","01_02_03_11_12",7,5,"Calonectris diomedea","Scopoli's Shearwater","LC",245.3152143,245.3152143,"nonbr_exposure",66.1054,"Calonectris diomedea_La Maddalena Archipelago","La Maddalena Archipelago"
"Scopoli's Shearwater, Malta ","04_05_06_07_08_09_10","01_02_03_11_12",7,5,"Calonectris diomedea","Scopoli's Shearwater","LC",466.1608343,466.1608343,"br_exposure",496.1885143,"Calonectris diomedea_Malta","Malta"
"Scopoli's Shearwater, Malta ","04_05_06_07_08_09_10","01_02_03_11_12",7,5,"Calonectris diomedea","Scopoli's Shearwater","LC",466.1608343,466.1608343,"nonbr_exposure",30.02768,"Calonectris diomedea_Malta","Malta"
"Scopoli's Shearwater, Zembra ","04_05_06_07_08_09_10","01_02_11_12",7,4,"Calonectris diomedea","Scopoli's Shearwater","LC",521.7530929,521.7530929,"br_exposure",547.7484429,"Calonectris diomedea_Zembra","Zembra"
"Scopoli's Shearwater, Zembra ","04_05_06_07_08_09_10","01_02_11_12",7,4,"Calonectris diomedea","Scopoli's Shearwater","LC",521.7530929,521.7530929,"nonbr_exposure",25.99535,"Calonectris diomedea_Zembra","Zembra"
"Streaked Shearwater, Iwate ","03_04_05_06_07_08_09_10","01_02_11_12",8,4,"Calonectris leucomelas","Streaked Shearwater","NT",31.592775,31.592775,"br_exposure",39.0378,"Calonectris leucomelas_Iwate","Iwate"
"Streaked Shearwater, Iwate ","03_04_05_06_07_08_09_10","01_02_11_12",8,4,"Calonectris leucomelas","Streaked Shearwater","NT",31.592775,31.592775,"nonbr_exposure",7.445025,"Calonectris leucomelas_Iwate","Iwate"
"Streaked Shearwater, Korea ","10_11","01_02_03_04_12",2,5,"Calonectris leucomelas","Streaked Shearwater","NT",89.73664,89.73664,"br_exposure",140.6464,"Calonectris leucomelas_Korea","Korea"
"Streaked Shearwater, Korea ","10_11","01_02_03_04_12",2,5,"Calonectris leucomelas","Streaked Shearwater","NT",89.73664,89.73664,"nonbr_exposure",50.90976,"Calonectris leucomelas_Korea","Korea"
"Streaked Shearwater, Mikura ","04_05_06_07_08_09_10","01_02_03_11_12",7,5,"Calonectris leucomelas","Streaked Shearwater","NT",37.32018,37.32018,"br_exposure",49.7375,"Calonectris leucomelas_Mikura","Mikura"
"Streaked Shearwater, Mikura ","04_05_06_07_08_09_10","01_02_03_11_12",7,5,"Calonectris leucomelas","Streaked Shearwater","NT",37.32018,37.32018,"nonbr_exposure",12.41732,"Calonectris leucomelas_Mikura","Mikura"
"European Storm-petrel, Malta ","04_07_08_09","01_02_10_11_12",4,5,"Hydrobates pelagicus","European Storm-petrel","LC",84.09444,84.09444,"br_exposure",534.1727,"Hydrobates pelagicus_Malta","Malta"
"European Storm-petrel, Malta ","04_07_08_09","01_02_10_11_12",4,5,"Hydrobates pelagicus","European Storm-petrel","LC",84.09444,84.09444,"nonbr_exposure",450.07826,"Hydrobates pelagicus_Malta","Malta"
"Broad-billed Prion, Tristan da Cunha ","07_08_09_10_11","01_02_03_04_05_06_12",5,7,"Pachyptila vittata","Broad-billed Prion","LC",30.65323429,30.65323429,"br_exposure",44.42342,"Pachyptila vittata_Tristan da Cunha","Tristan da Cunha"
"Broad-billed Prion, Tristan da Cunha ","07_08_09_10_11","01_02_03_04_05_06_12",5,7,"Pachyptila vittata","Broad-billed Prion","LC",30.65323429,30.65323429,"nonbr_exposure",13.77018571,"Pachyptila vittata_Tristan da Cunha","Tristan da Cunha"
"Cook's Petrel, Little Barrier Island ","01_02_03_10_11_12","04_05_06_07_08_09",6,6,"Pterodroma cookii","Cook's Petrel","VU",-153.808216667,153.808216667,"br_exposure",5.531633333,"Pterodroma cookii_Little Barrier Island","Little Barrier Island"
"Cook's Petrel, Little Barrier Island ","01_02_03_10_11_12","04_05_06_07_08_09",6,6,"Pterodroma cookii","Cook's Petrel","VU",-153.808216667,153.808216667,"nonbr_exposure",159.33985,"Pterodroma cookii_Little Barrier Island","Little Barrier Island"
"Soft-plumaged Petrel, Gough ","01_02_03_04_11_12","05_06_07_08_09_10",6,6,"Pterodroma mollis","Soft-plumaged Petrel","LC",-23.283783333,23.283783333,"br_exposure",5.058616667,"Pterodroma mollis_Gough","Gough"
"Soft-plumaged Petrel, Gough ","01_02_03_04_11_12","05_06_07_08_09_10",6,6,"Pterodroma mollis","Soft-plumaged Petrel","LC",-23.283783333,23.283783333,"nonbr_exposure",28.3424,"Pterodroma mollis_Gough","Gough"
"Black-winged Petrel, Chatham Islands ","01_02_03_04_11_12","05_06_07_08_09_10",6,6,"Pterodroma nigripennis","Black-winged Petrel","LC",-67.12953333,67.12953333,"br_exposure",5.7676,"Pterodroma nigripennis_Chatham Islands","Chatham Islands"
"Black-winged Petrel, Chatham Islands ","01_02_03_04_11_12","05_06_07_08_09_10",6,6,"Pterodroma nigripennis","Black-winged Petrel","LC",-67.12953333,67.12953333,"nonbr_exposure",72.89713333,"Pterodroma nigripennis_Chatham Islands","Chatham Islands"
"Providence Petrel, Lord Howe Island ","03_04_05_10","01_02_11_12",4,4,"Pterodroma solandri","Providence Petrel","VU",-41.1378,41.1378,"br_exposure",4.0571,"Pterodroma solandri_Lord Howe Island","Lord Howe Island"
"Providence Petrel, Lord Howe Island ","03_04_05_10","01_02_11_12",4,4,"Pterodroma solandri","Providence Petrel","VU",-41.1378,41.1378,"nonbr_exposure",45.1949,"Pterodroma solandri_Lord Howe Island","Lord Howe Island"
"Murphy's Petrel, Henderson Island ","05_06_07_08_09","01_02_03_04_10_11_12",5,7,"Pterodroma ultima","Murphy's Petrel","LC",-23.48326286,23.48326286,"br_exposure",7.23068,"Pterodroma ultima_Henderson Island","Henderson Island"
"Murphy's Petrel, Henderson Island ","05_06_07_08_09","01_02_03_04_10_11_12",5,7,"Pterodroma ultima","Murphy's Petrel","LC",-23.48326286,23.48326286,"nonbr_exposure",30.71394286,"Pterodroma ultima_Henderson Island","Henderson Island"
"Yelkouan Shearwater, Iles Hyeres ","01_02_03_04_05_06_07_11_12","08_09_10",9,3,"Puffinus yelkouan","Yelkouan Shearwater","VU",-102.2340333,102.2340333,"br_exposure",380.2307,"Puffinus yelkouan_Iles Hyeres","Iles Hyeres"
"Yelkouan Shearwater, Iles Hyeres ","01_02_03_04_05_06_07_11_12","08_09_10",9,3,"Puffinus yelkouan","Yelkouan Shearwater","VU",-102.2340333,102.2340333,"nonbr_exposure",482.4647333,"Puffinus yelkouan_Iles Hyeres","Iles Hyeres"
"Yelkouan Shearwater, Malta ","01_02_03_04_05_06_12","07_08_09_10_11",7,5,"Puffinus yelkouan","Yelkouan Shearwater","VU",-420.19002,420.19002,"br_exposure",517.5162,"Puffinus yelkouan_Malta","Malta"
"Yelkouan Shearwater, Malta ","01_02_03_04_05_06_12","07_08_09_10_11",7,5,"Puffinus yelkouan","Yelkouan Shearwater","VU",-420.19002,420.19002,"nonbr_exposure",937.70622,"Puffinus yelkouan_Malta","Malta"
