"common_country","group_label","prop"
"Trindade Petrel, Mauritius","High Seas",0.64860880443512
"Trindade Petrel, Mauritius","Mauritius*",0.247121561172331
"Trindade Petrel, Mauritius","France",0.0719893418441046
"Trindade Petrel, Mauritius","18",0.0322802925484445
"Soft-plumaged Petrel, UK","High Seas",0.90654148764113
"Soft-plumaged Petrel, UK","10",0.0934585123588706
"Buller's Shearwater, New Zealand","High Seas",0.888510487851293
"Buller's Shearwater, New Zealand","New Zealand*",0.0860430100760745
"Buller's Shearwater, New Zealand","25",0.025446502072633
"Atlantic Petrel, UK","High Seas",0.810070084623218
"Atlantic Petrel, UK","Brazil",0.0897776089171473
"Atlantic Petrel, UK","UK*",0.0569028470964144
"Atlantic Petrel, UK","7",0.0432494593632199
"Barau's Petrel, France","High Seas",0.804537129699392
"Barau's Petrel, France","France*",0.0769174961314464
"Barau's Petrel, France","MDG",0.0552661469233142
"Barau's Petrel, France","12",0.0632792272458479
"Flesh-footed Shearwater, Australia","Japan",0.264439527933873
"Flesh-footed Shearwater, Australia","China",0.263822650256415
"Flesh-footed Shearwater, Australia","Australia*",0.19571697447244
"Flesh-footed Shearwater, Australia","High Seas",0.184670585544239
"Flesh-footed Shearwater, Australia","23",0.0913502617930334
"Murphy's Petrel, UK","High Seas",0.971382269083841
"Murphy's Petrel, UK","10",0.0286177309161592
"Flesh-footed Shearwater, New Zealand","High Seas",0.611619627049084
"Flesh-footed Shearwater, New Zealand","Japan",0.259216047991436
"Flesh-footed Shearwater, New Zealand","New Zealand*",0.0912700965485549
"Flesh-footed Shearwater, New Zealand","38",0.0378942284109245
"Broad-billed Prion, UK","High Seas",0.81732946471212
"Broad-billed Prion, UK","UK*",0.182431624761859
"Broad-billed Prion, UK","3",0.00023891052602182
"Providence Petrel, Australia","High Seas",0.752070856864663
"Providence Petrel, Australia","Japan",0.172835764365796
"Providence Petrel, Australia","Australia*",0.0567962436761773
"Providence Petrel, Australia","14",0.0182971350933632
"Trindade Petrel, Brazil","High Seas",0.931988079255586
"Trindade Petrel, Brazil","17",0.0680119207444142
"Streaked Shearwater, Japan","Japan*",0.801553386423843
"Streaked Shearwater, Japan","High Seas",0.175359448885565
"Streaked Shearwater, Japan","19",0.0230871646905913
"Black-winged Petrel, New Zealand","High Seas",0.703258964933898
"Black-winged Petrel, New Zealand","USA",0.287331549675499
"Black-winged Petrel, New Zealand","16",0.00940948539060273
"Spectacled Petrel, UK","High Seas",0.796834295946726
"Spectacled Petrel, UK","UK*",0.120957854170764
"Spectacled Petrel, UK","Brazil",0.0723905736475678
"Spectacled Petrel, UK","5",0.00981727623494212
"Streaked Shearwater, South Korea","China",0.368935358067735
"Streaked Shearwater, South Korea","Malaysia",0.216314033344517
"Streaked Shearwater, South Korea","Philippines",0.104668679014381
"Streaked Shearwater, South Korea","S Korea*",0.086771839999642
"Streaked Shearwater, South Korea","Indonesia",0.0770490219046743
"Streaked Shearwater, South Korea","Vietnam",0.0582492271210997
"Streaked Shearwater, South Korea","15",0.0880118405479513
"Wedge-tailed Shearwater, USA","USA*",0.772648096931945
"Wedge-tailed Shearwater, USA","High Seas",0.227351903068055
"Wedge-tailed Shearwater, USA"," ",0
"Cook's Petrel, New Zealand","High Seas",0.965541592906291
"Cook's Petrel, New Zealand","40",0.0344584070937089
"Newell's Shearwater, USA","High Seas",0.707661381063224
"Newell's Shearwater, USA","USA*",0.292320639900629
"Newell's Shearwater, USA","2",1.79790361467941e-05
"Hawaiian Petrel, USA","High Seas",0.78253229930566
"Hawaiian Petrel, USA","USA*",0.216609998986896
"Hawaiian Petrel, USA","3",0.000857701707444576
"Scopoli's Shearwater, Spain","Spain*",0.498641822315584
"Scopoli's Shearwater, Spain","Algeria",0.341305360639414
"Scopoli's Shearwater, Spain","65",0.160052817045002
"Scopoli's Shearwater, Malta","Libya",0.295434830106519
"Scopoli's Shearwater, Malta","Italy",0.27769980459257
"Scopoli's Shearwater, Malta","Tunisia",0.211854086401678
"Scopoli's Shearwater, Malta","Malta*",0.192106567328656
"Scopoli's Shearwater, Malta","54",0.0229047115705766
"European Storm-petrel, Italy","Italy*",0.426888445549188
"European Storm-petrel, Italy","Spain",0.277637552928093
"European Storm-petrel, Italy","Algeria",0.137877584730172
"European Storm-petrel, Italy","France",0.113331844879604
"European Storm-petrel, Italy","3",0.0442645719129431
"Scopoli's Shearwater, Tunisia","Tunisia*",0.388914740238209
"Scopoli's Shearwater, Tunisia","Italy",0.237475511882782
"Scopoli's Shearwater, Tunisia","Libya",0.235837738420171
"Scopoli's Shearwater, Tunisia","Malta",0.112183923464326
"Scopoli's Shearwater, Tunisia","51",0.0255880859945123
"Yelkouan Shearwater, France","Spain",0.29963213348345
"Yelkouan Shearwater, France","Turkey",0.231304711026325
"Yelkouan Shearwater, France","Algeria",0.153622660368067
"Yelkouan Shearwater, France","Italy",0.13159764209504
"Yelkouan Shearwater, France","49",0.183842853027118
"Balearic Shearwater, Spain","Spain*",0.670970681289113
"Balearic Shearwater, Spain","Algeria",0.288316083402754
"Balearic Shearwater, Spain","9",0.0407132353081339
"European Storm-petrel, Malta","Italy",0.32595045292108
"European Storm-petrel, Malta","Tunisia",0.291526454157262
"European Storm-petrel, Malta","Libya",0.199719533593904
"European Storm-petrel, Malta","Malta*",0.147120094142467
"European Storm-petrel, Malta","21",0.0356834651852859
"Scopoli's Shearwater, Italy","Tunisia",0.398371150090157
"Scopoli's Shearwater, Italy","Italy*",0.218897329104557
"Scopoli's Shearwater, Italy","Libya",0.201129859875818
"Scopoli's Shearwater, Italy","Malta",0.168169647631708
"Scopoli's Shearwater, Italy","52",0.0134320132977593
"European Storm-petrel, Spain","Spain*",0.463450654720244
"European Storm-petrel, Spain","Algeria",0.37670733808637
"European Storm-petrel, Spain","Spain*/Morocco",0.0584044091865242
"European Storm-petrel, Spain","4",0.101437598006861
"Yelkouan Shearwater, Malta","Turkey",0.311094956115201
"Yelkouan Shearwater, Malta","Libya",0.171826914368765
"Yelkouan Shearwater, Malta","Italy",0.143269173845854
"Yelkouan Shearwater, Malta","Greece",0.118595850721109
"Yelkouan Shearwater, Malta","Tunisia",0.100553760774708
"Yelkouan Shearwater, Malta","Malta*",0.0846742728841541
"Yelkouan Shearwater, Malta","16",0.0699850712902085
